,uid,sentiment
145,24884,negative
146,6705,positive
147,15368,neutral
148,177,positive
149,14937,neutral
150,21275,neutral
151,40205,positive
152,7396,positive
153,6822,neutral
154,19943,negative
155,3266,neutral
156,10141,negative
157,31280,positive
158,44653,negative
159,31837,positive
160,10933,neutral
161,21589,negative
162,13525,neutral
163,31380,negative
164,11251,neutral
165,29583,negative
166,4047,negative
167,25420,positive
168,11401,positive
169,30288,negative
170,40377,positive
171,29413,neutral
172,37821,positive
173,268,negative
174,31644,positive
175,21066,neutral
176,10143,positive
177,18099,neutral
178,30341,neutral
179,11225,neutral
180,25572,neutral
181,27920,positive
182,21268,neutral
183,39522,positive
184,7240,negative
185,9740,positive
186,10780,neutral
187,12129,neutral
188,33301,neutral
189,10803,negative
190,43892,negative
191,10852,negative
192,22184,neutral
193,26586,neutral
194,10523,neutral
195,24651,positive
196,20454,negative
197,21647,neutral
198,11068,negative
199,14117,neutral
200,21540,neutral
201,31818,neutral
202,11753,negative
203,28587,positive
204,17934,neutral
205,29398,neutral
206,6119,positive
207,6176,neutral
208,32221,negative
209,8653,positive
210,3626,positive
211,10962,neutral
212,23643,neutral
213,4888,positive
214,11484,neutral
215,4564,negative
216,2076,neutral
217,22672,negative
218,20835,neutral
219,8984,positive
220,27024,neutral
221,41913,neutral
222,25782,neutral
223,43583,positive
224,32309,negative
225,25299,negative
226,8016,negative
227,9565,positive
228,10373,neutral
229,4954,neutral
230,34092,neutral
231,21165,positive
232,23671,positive
233,13955,neutral
234,34650,neutral
235,11482,neutral
236,32223,negative
237,11125,neutral
238,22549,neutral
239,23052,negative
240,19459,neutral
241,33453,negative
242,718,positive
243,3281,neutral
244,8053,negative
245,24419,positive
246,19151,neutral
247,27066,neutral
248,10135,negative
249,23251,positive
250,13550,negative
251,25681,negative
252,9580,negative
253,13916,positive
254,29274,negative
255,35851,positive
256,21874,neutral
257,28006,neutral
258,3806,neutral
259,6313,positive
260,41387,neutral
261,10686,neutral
262,9675,neutral
263,13284,neutral
264,34026,negative
265,7953,positive
266,22070,positive
267,27509,neutral
268,32695,positive
269,26706,negative
270,22409,neutral
271,11815,neutral
272,10869,positive
273,30300,negative
274,14569,neutral
275,14608,neutral
276,38358,positive
277,15330,neutral
278,4980,neutral
279,9050,negative
280,40854,neutral
281,6417,negative
282,25928,negative
283,11061,negative
284,8576,neutral
285,7831,neutral
286,1958,negative
287,36228,positive
288,23221,neutral
289,28453,negative
290,31816,neutral
291,30867,positive
292,31454,negative
293,42905,neutral
294,12407,neutral
295,20583,positive
296,44407,neutral
297,26019,positive
298,22441,positive
299,21966,negative
300,23714,neutral
301,17136,positive
302,4250,negative
303,40138,neutral
304,29492,positive
305,35713,negative
306,33903,neutral
307,41432,negative
308,41867,neutral
309,17778,negative
310,18624,neutral
311,31428,neutral
312,37432,neutral
313,9767,neutral
314,40069,positive
315,6637,neutral
316,30994,negative
317,41952,positive
318,20976,neutral
319,9492,neutral
320,19383,neutral
321,40164,neutral
322,3784,neutral
323,658,neutral
324,10623,neutral
325,10421,neutral
326,13219,negative
327,4943,positive
328,25438,positive
329,11628,positive
330,711,negative
331,15670,neutral
332,3853,neutral
333,15060,neutral
334,14554,neutral
335,35867,positive
336,13305,positive
337,29394,neutral
338,12557,positive
339,31960,negative
340,21998,positive
341,19183,positive
342,14607,negative
343,24332,positive
344,31484,negative
345,36442,neutral
346,29370,positive
347,33705,negative
348,41402,neutral
349,22532,negative
350,11797,negative
351,19478,neutral
352,6149,neutral
353,533,neutral
354,29452,positive
355,17607,neutral
356,29672,positive
357,10965,negative
358,41602,positive
359,28983,positive
360,34169,positive
361,15157,neutral
362,3445,neutral
363,40194,negative
364,43158,negative
365,10855,negative
366,20931,neutral
367,28635,neutral
368,316,neutral
369,2562,neutral
370,23646,neutral
371,31997,negative
372,11232,neutral
373,11696,neutral
374,4163,neutral
375,12425,negative
376,21937,neutral
377,38446,neutral
378,3595,negative
379,43579,neutral
380,37795,negative
381,7286,positive
382,22800,negative
383,38958,negative
384,17202,negative
385,16773,neutral
386,11192,negative
387,2952,neutral
388,34247,neutral
389,19451,neutral
390,11866,neutral
391,11215,neutral
392,18015,neutral
393,38303,neutral
394,3782,positive
395,42438,positive
396,32427,neutral
397,31370,negative
398,5356,negative
399,43708,positive
400,44655,neutral
401,43669,positive
402,41976,positive
403,27582,positive
404,25744,positive
405,40937,neutral
406,6917,negative
407,27060,positive
408,25623,negative
409,7896,positive
410,44997,positive
411,17458,negative
412,41591,neutral
413,12926,negative
414,28275,negative
415,28031,neutral
416,30935,positive
417,6488,negative
418,42492,negative
419,22503,negative
420,11960,negative
421,4625,positive
422,26085,neutral
423,13336,neutral
424,215,neutral
425,3338,neutral
426,20510,neutral
427,24203,negative
428,31010,negative
429,26926,neutral
430,19581,neutral
431,21262,neutral
432,38053,positive
433,20245,negative
434,21942,positive
435,20973,neutral
436,24165,neutral
437,14233,neutral
438,12005,positive
439,4387,neutral
440,7921,negative
441,11819,neutral
442,6870,positive
443,37684,negative
444,10484,positive
445,20392,negative
446,509,positive
447,36734,positive
448,1945,neutral
449,20862,neutral
450,42444,positive
451,11581,neutral
452,35773,positive
453,32834,neutral
454,37116,neutral
455,10101,negative
456,16152,neutral
457,10433,neutral
458,22966,neutral
459,9336,negative
460,30317,neutral
461,25482,neutral
462,2742,negative
463,4929,negative
464,27264,neutral
465,11190,negative
466,41792,negative
467,2784,neutral
468,15652,neutral
469,18917,neutral
470,41051,negative
471,3518,positive
472,2479,neutral
473,14132,negative
474,26433,neutral
475,24366,positive
476,18372,positive
477,35355,positive
478,21398,negative
479,11394,positive
480,18798,positive
481,8566,negative
482,11165,neutral
483,14637,neutral
484,16203,positive
485,18371,negative
486,4570,positive
487,17534,positive
488,7911,negative
489,38574,positive
490,10670,negative
491,20782,neutral
492,38530,positive
493,43434,neutral
494,6057,neutral
495,30207,negative
496,29900,neutral
497,9133,positive
498,23577,negative
499,31254,neutral
500,11209,neutral
501,34868,neutral
502,5703,positive
503,33788,positive
504,12074,negative
505,10021,negative
506,17050,positive
507,10974,neutral
508,26627,positive
509,4458,neutral
510,23070,neutral
511,9449,negative
512,32173,negative
513,21202,positive
514,29118,negative
515,28446,positive
516,6181,neutral
517,29850,negative
518,32375,neutral
519,44444,negative
520,14977,negative
521,3947,positive
522,11183,neutral
523,11174,negative
524,5997,neutral
525,45120,negative
526,43939,positive
527,12496,positive
528,8778,neutral
529,24335,positive
530,848,neutral
531,14495,neutral
532,25337,neutral
533,35492,positive
534,9155,neutral
535,15554,positive
536,35856,positive
537,31917,neutral
538,31595,neutral
539,21804,positive
540,9702,positive
541,11181,neutral
542,20415,negative
543,11210,positive
544,31353,negative
545,25821,neutral
546,19887,neutral
547,16302,positive
548,20926,positive
549,7407,neutral
550,21361,negative
551,15264,positive
552,27821,positive
553,10339,negative
554,11747,negative
555,19396,positive
556,34237,negative
557,12542,negative
558,20356,neutral
559,33049,negative
560,38921,positive
561,7367,neutral
562,334,neutral
563,25032,negative
564,22230,negative
565,10577,positive
566,44577,neutral
567,40006,negative
568,23662,neutral
569,16863,positive
570,40894,neutral
571,488,negative
572,39787,positive
573,20723,neutral
574,9695,neutral
575,22686,negative
576,39443,negative
577,25735,neutral
578,13706,positive
579,11176,neutral
580,15765,negative
581,12844,neutral
582,30518,positive
583,39417,neutral
584,5377,neutral
585,42909,positive
586,23414,neutral
587,44213,negative
588,39871,negative
589,21570,neutral
590,32529,negative
591,39540,positive
592,24249,positive
593,31661,positive
594,29941,positive
595,5940,neutral
596,3380,positive
597,34077,negative
598,11271,negative
599,27274,neutral
600,37260,negative
601,41325,neutral
602,12524,negative
603,10856,neutral
604,9526,neutral
605,42127,neutral
606,13997,negative
607,11114,neutral
608,34253,positive
609,9400,positive
610,32968,positive
611,25659,negative
612,26893,positive
613,13897,neutral
614,23982,neutral
615,38235,positive
616,42820,neutral
617,20829,positive
618,11769,neutral
619,774,negative
620,42616,positive
621,23150,neutral
622,10774,neutral
623,11813,neutral
624,26156,neutral
625,12626,positive
626,36752,neutral
627,24753,neutral
628,10438,neutral
629,28356,neutral
630,33927,negative
631,29552,positive
632,25986,neutral
633,14916,positive
634,26432,positive
635,28968,neutral
636,32928,positive
637,32432,negative
638,30197,positive
639,14252,negative
640,17749,neutral
641,34834,neutral
642,42872,neutral
643,24392,positive
644,6413,neutral
645,9945,neutral
646,37320,positive
647,20140,negative
648,43530,negative
649,11975,neutral
650,44346,neutral
651,14225,negative
652,32041,neutral
653,26335,positive
654,31209,positive
655,15837,positive
656,10578,positive
657,16884,neutral
658,6651,negative
659,43553,positive
660,9001,negative
661,29635,positive
662,13048,positive
663,25259,neutral
664,25552,neutral
665,14009,positive
666,28534,positive
667,21078,neutral
668,4900,positive
669,21174,neutral
670,12133,positive
671,37969,neutral
672,19514,neutral
673,18336,positive
674,21373,neutral
675,21306,positive
676,23125,neutral
677,31575,neutral
678,2368,positive
679,32193,negative
680,14770,positive
681,11517,positive
682,39083,positive
683,18781,negative
684,30879,neutral
685,4161,neutral
686,23207,neutral
687,11334,neutral
688,11325,positive
689,25263,neutral
690,17720,positive
691,21779,positive
692,28512,positive
693,39394,neutral
694,36646,neutral
695,28354,neutral
696,8150,positive
697,17706,positive
698,10713,neutral
699,25129,positive
700,24004,negative
701,11101,positive
702,13125,negative
703,14261,positive
704,6153,neutral
705,11150,positive
706,9051,neutral
707,15956,negative
708,13802,negative
709,24081,negative
710,21884,neutral
711,25252,neutral
712,43991,neutral
713,20744,neutral
714,17688,positive
715,31076,positive
716,13397,positive
717,7979,positive
718,10917,negative
719,17063,negative
720,21498,neutral
721,11207,negative
722,16577,negative
723,25532,negative
724,26208,positive
725,33855,neutral
726,8956,negative
727,8747,neutral
728,14745,positive
729,39874,neutral
730,36028,positive
731,2554,neutral
732,13168,negative
733,38128,positive
734,13785,negative
735,40071,positive
736,5457,negative
737,17508,negative
738,10243,neutral
739,31399,positive
740,4004,negative
741,28571,neutral
742,14430,negative
743,34847,neutral
744,34826,positive
745,10851,neutral
746,11636,neutral
747,35316,neutral
748,11163,neutral
749,9761,negative
750,38228,positive
751,19078,negative
752,14464,positive
753,40614,neutral
754,1,negative
755,31715,neutral
756,38801,negative
757,26756,negative
758,5384,positive
759,31830,negative
760,35029,neutral
761,41273,positive
762,31085,negative
763,368,neutral
764,29490,positive
765,43902,negative
766,17256,positive
767,26077,neutral
768,23321,positive
769,11655,positive
770,8126,neutral
771,11147,negative
772,4726,positive
773,34516,neutral
774,13617,negative
775,10562,neutral
776,15355,negative
777,29784,neutral
778,36084,negative
779,19485,negative
780,15563,negative
781,11921,positive
782,11305,positive
783,38407,neutral
784,21304,neutral
785,10882,negative
786,25634,positive
787,24274,neutral
788,14344,positive
789,10947,neutral
790,493,positive
791,7369,neutral
792,24619,negative
793,35423,negative
794,36430,negative
795,11775,negative
796,21453,positive
797,22711,negative
798,43685,positive
799,23019,positive
800,31065,negative
801,8838,neutral
802,9369,positive
803,14746,neutral
804,31591,neutral
805,14478,positive
806,20945,neutral
807,19918,neutral
808,12973,positive
809,11692,negative
810,35191,negative
811,3530,positive
812,3838,neutral
813,37690,neutral
814,16165,neutral
815,34606,neutral
816,2741,neutral
817,3652,negative
818,19960,positive
819,26547,negative
820,8169,positive
821,31616,negative
822,40700,neutral
823,12691,negative
824,21148,neutral
825,11064,neutral
826,7442,neutral
827,34836,negative
828,22116,neutral
829,12719,neutral
830,36073,positive
831,11097,neutral
832,21380,negative
833,11721,neutral
834,41996,negative
835,23240,neutral
836,4146,negative
837,10336,positive
838,22171,positive
839,35220,positive
840,16832,positive
841,42192,positive
842,24021,positive
843,3589,positive
844,4921,neutral
845,35642,negative
846,21460,neutral
847,20472,neutral
848,2495,positive
849,10784,neutral
850,37948,neutral
851,42418,positive
852,5124,positive
853,1496,neutral
854,31569,neutral
855,15586,neutral
856,35724,neutral
857,37841,negative
858,11323,neutral
859,35046,neutral
860,29949,positive
861,31339,neutral
862,10770,negative
863,6332,negative
864,33860,negative
865,18754,positive
866,17890,neutral
867,5304,positive
868,43211,positive
869,29742,neutral
870,24255,neutral
871,28297,negative
872,4299,neutral
873,19776,positive
874,37421,negative
875,29162,neutral
876,37081,neutral
877,8769,neutral
878,37540,neutral
879,37883,negative
880,10503,positive
881,40456,neutral
882,32915,negative
883,10563,positive
884,36292,negative
885,22528,positive
886,38249,negative
887,40501,positive
888,26815,negative
889,11670,neutral
890,14929,positive
891,23216,positive
892,13689,positive
893,24192,negative
894,11037,positive
895,18379,positive
896,23010,negative
897,26963,neutral
898,9101,negative
899,3689,neutral
900,34931,negative
901,30097,negative
902,32707,neutral
903,2933,negative
904,3488,neutral
905,9591,neutral
906,23347,negative
907,9911,positive
908,2883,negative
909,42700,neutral
910,16149,positive
911,26895,positive
912,10250,positive
913,17843,neutral
914,36494,negative
915,28078,negative
916,5027,neutral
917,24671,positive
918,33879,neutral
919,1774,negative
920,42232,positive
921,12061,negative
922,12141,positive
923,15397,negative
924,6427,positive
925,36633,negative
926,22130,neutral
927,43221,neutral
928,8691,neutral
929,5606,positive
930,20182,negative
931,35162,neutral
932,32639,neutral
933,10688,neutral
934,13424,neutral
935,10550,neutral
936,21220,neutral
937,15003,neutral
938,21352,neutral
939,26798,neutral
940,25864,positive
941,16526,neutral
942,26571,neutral
943,4767,positive
944,13257,negative
945,33532,negative
946,33054,neutral
947,37199,positive
948,20103,neutral
949,28007,neutral
950,11109,neutral
951,10697,negative
952,19628,neutral
953,31299,neutral
954,21486,neutral
955,19548,neutral
956,38766,neutral
957,22867,positive
958,37315,neutral
959,34903,positive
960,5266,neutral
961,35450,neutral
962,38595,negative
963,29366,positive
964,36439,neutral
965,22155,neutral
966,19374,positive
967,37376,negative
968,15391,neutral
969,14669,neutral
970,26870,neutral
971,14351,neutral
972,30644,negative
973,11590,neutral
974,43173,positive
975,15524,positive
976,8788,positive
977,13754,neutral
978,6589,neutral
979,14876,negative
980,41547,negative
981,28840,positive
982,1281,positive
983,44599,neutral
984,7790,neutral
985,19379,neutral
986,205,neutral
987,42185,negative
988,18092,positive
989,4,neutral
990,31851,neutral
991,7147,negative
992,20888,neutral
993,11479,neutral
994,6043,positive
995,35447,neutral
996,22144,negative
997,17564,neutral
998,12571,neutral
999,16143,positive
1000,37161,positive
1001,27688,neutral
1002,12100,positive
1003,17977,neutral
1004,19176,neutral
1005,14578,positive
1006,10817,neutral
1007,23466,negative
1008,15171,positive
1009,16607,negative
1010,35341,neutral
1011,15402,positive
1012,16710,negative
1013,22177,negative
1014,23459,neutral
1015,10607,neutral
1016,38904,negative
1017,10801,neutral
1018,12070,negative
1019,9571,neutral
1020,20040,negative
1021,35062,positive
1022,24783,negative
1023,27348,positive
1024,25374,positive
1025,4870,negative
1026,4952,neutral
1027,6325,neutral
1028,10973,negative
1029,27480,neutral
1030,15590,neutral
1031,18026,neutral
1032,30043,positive
1033,16128,negative
1034,163,neutral
1035,41083,neutral
1036,34411,neutral
1037,889,positive
1038,3622,negative
1039,25954,neutral
1040,13632,positive
1041,3808,positive
1042,18300,neutral
1043,10307,negative
1044,19390,neutral
1045,8725,neutral
1046,10897,negative
1047,1298,neutral
1048,11766,neutral
1049,20849,neutral
1050,23151,neutral
1051,13860,positive
1052,11039,neutral
1053,33280,neutral
1054,10001,positive
1055,12164,positive
1056,29242,negative
1057,1961,neutral
1058,20161,negative
1059,10919,positive
1060,3101,positive
1061,41796,neutral
1062,19210,negative
1063,7836,neutral
1064,23519,neutral
1065,10992,neutral
1066,11056,neutral
1067,26677,neutral
1068,35603,positive
1069,42319,neutral
1070,4871,neutral
1071,2354,positive
1072,39331,neutral
1073,9728,negative
1074,7418,negative
1075,2798,neutral
1076,17002,neutral
1077,21641,negative
1078,19442,positive
1079,16987,neutral
1080,21114,negative
1081,21201,neutral
1082,15588,neutral
1083,23421,negative
1084,27386,negative
1085,41853,neutral
1086,32890,neutral
1087,25146,positive
1088,23073,neutral
1089,25501,neutral
1090,15358,neutral
1091,27267,neutral
1092,20484,negative
1093,40829,negative
1094,1769,neutral
1095,9823,positive
1096,22311,neutral
1097,27720,positive
1098,2783,positive
1099,11831,negative
1100,6871,neutral
1101,32874,positive
1102,11469,positive
1103,15609,negative
1104,33695,positive
1105,13520,positive
1106,31874,positive
1107,40795,positive
1108,19463,negative
1109,43637,neutral
1110,4650,positive
1111,16825,neutral
1112,21332,neutral
1113,29206,neutral
1114,18247,positive
1115,32594,negative
1116,1650,positive
1117,35814,positive
1118,25609,positive
1119,32671,negative
1120,18509,neutral
1121,11041,negative
1122,33806,neutral
1123,14897,negative
1124,36213,neutral
1125,10843,negative
1126,15914,neutral
1127,8877,neutral
1128,16615,negative
1129,38330,positive
1130,20906,neutral
1131,3832,neutral
1132,16489,positive
1133,21409,negative
1134,11351,positive
1135,11120,positive
1136,30269,neutral
1137,12720,neutral
1138,28089,negative
1139,18943,positive
1140,28892,negative
1141,34446,positive
1142,22991,positive
1143,8923,neutral
1144,10808,negative
1145,42967,neutral
1146,20840,negative
1147,29038,neutral
1148,4420,positive
1149,12192,neutral
1150,20819,neutral
1151,2578,positive
1152,18710,negative
1153,5456,neutral
1154,11073,positive
1155,30882,negative
1156,3316,neutral
1157,34,positive
1158,30035,negative
1159,36680,negative
1160,10271,negative
1161,19985,negative
1162,24710,neutral
1163,4421,neutral
1164,30497,neutral
1165,11760,positive
1166,15784,positive
1167,16625,positive
1168,33913,neutral
1169,34738,neutral
1170,36699,positive
1171,8720,negative
1172,25011,positive
1173,10635,positive
1174,43298,neutral
1175,28074,positive
1176,43408,positive
1177,35239,positive
1178,1663,negative
1179,39025,positive
1180,8968,negative
1181,25342,negative
1182,2729,neutral
1183,26947,positive
1184,40413,neutral
1185,24479,negative
1186,40462,positive
1187,35507,negative
1188,3855,neutral
1189,42563,neutral
1190,4053,positive
1191,17380,negative
1192,31068,neutral
1193,15995,neutral
1194,35132,neutral
1195,16923,positive
1196,15948,negative
1197,41096,negative
1198,17154,negative
1199,12768,positive
1200,139,negative
1201,10331,positive
1202,22196,neutral
1203,3154,neutral
1204,3411,neutral
1205,15729,neutral
1206,31957,neutral
1207,20352,positive
1208,6674,neutral
1209,811,neutral
1210,32018,negative
1211,24098,negative
1212,23872,neutral
1213,28605,negative
1214,17212,positive
1215,22473,negative
1216,34787,positive
1217,10569,neutral
1218,34062,positive
1219,21671,positive
1220,10591,negative
1221,44384,neutral
1222,21084,neutral
1223,4302,positive
1224,7912,positive
1225,9321,neutral
1226,34674,positive
1227,31332,negative
1228,12256,neutral
1229,14186,negative
1230,31675,neutral
1231,579,positive
1232,36478,neutral
1233,17543,negative
1234,23457,neutral
1235,27147,negative
1236,5991,negative
1237,228,positive
1238,8136,neutral
1239,6919,negative
1240,15276,positive
1241,39556,positive
1242,20160,neutral
1243,42031,positive
1244,24640,positive
1245,10608,neutral
1246,6738,neutral
1247,31878,neutral
1248,38432,neutral
1249,20285,neutral
1250,33057,positive
1251,41021,positive
1252,43335,negative
1253,36186,positive
1254,39603,neutral
1255,33425,positive
1256,7165,positive
1257,33549,neutral
1258,31711,neutral
1259,20985,negative
1260,11266,negative
1261,29651,neutral
1262,16468,positive
1263,11777,negative
1264,31941,positive
1265,6067,positive
1266,13228,negative
1267,19772,neutral
1268,18363,positive
1269,11367,neutral
1270,27075,positive
1271,29517,positive
1272,14987,negative
1273,4170,negative
1274,17680,neutral
1275,13673,neutral
1276,21684,negative
1277,33102,negative
1278,2801,positive
1279,26350,neutral
1280,27954,negative
1281,208,neutral
1282,9274,positive
1283,43151,positive
1284,31124,positive
1285,12594,neutral
1286,23390,neutral
1287,11200,neutral
1288,11512,neutral
1289,43402,negative
1290,20891,positive
1291,29832,neutral
1292,30238,neutral
1293,22803,negative
1294,20910,neutral
1295,11083,neutral
1296,28075,neutral
1297,29938,positive
1298,21255,neutral
1299,11142,negative
1300,11625,neutral
1301,33538,negative
1302,28975,neutral
1303,41189,positive
1304,23565,neutral
1305,13519,neutral
1306,11574,neutral
1307,27317,neutral
1308,44376,negative
1309,37693,positive
1310,4101,positive
1311,351,positive
1312,19945,positive
1313,19906,negative
1314,7593,positive
1315,28214,neutral
1316,9611,positive
1317,4793,negative
1318,15196,positive
1319,9385,negative
1320,1568,negative
1321,30318,negative
1322,41408,neutral
1323,13941,neutral
1324,35004,positive
1325,13909,neutral
1326,7007,negative
1327,32744,neutral
1328,11789,negative
1329,14459,neutral
1330,8947,neutral
1331,11234,positive
1332,18091,neutral
1333,43915,positive
1334,43118,neutral
1335,19691,negative
1336,29670,positive
1337,22142,positive
1338,4662,neutral
1339,36093,neutral
1340,26796,positive
1341,25425,negative
1342,20676,neutral
1343,4544,positive
1344,37925,positive
1345,11803,neutral
1346,2934,negative
1347,41673,neutral
1348,17948,neutral
1349,29018,positive
1350,21015,negative
1351,5438,neutral
1352,10977,neutral
1353,31771,positive
1354,42344,negative
1355,9645,neutral
1356,40443,negative
1357,27612,negative
1358,25432,neutral
1359,16838,negative
1360,11739,negative
1361,162,neutral
1362,9176,positive
1363,42961,positive
1364,40299,positive
1365,17797,negative
1366,21524,neutral
1367,3643,positive
1368,4000,neutral
1369,10630,neutral
1370,10759,negative
1371,11227,negative
1372,5157,positive
1373,23749,neutral
1374,26818,neutral
1375,3531,neutral
1376,24504,positive
1377,15551,negative
1378,7863,neutral
1379,27523,negative
1380,5581,positive
1381,442,neutral
1382,32320,neutral
1383,8131,positive
1384,33022,positive
1385,40872,neutral
1386,33199,negative
1387,13157,positive
1388,43668,positive
1389,28885,neutral
1390,36965,positive
1391,39767,negative
1392,24312,positive
1393,21701,negative
1394,24689,negative
1395,32812,neutral
1396,9511,neutral
1397,44928,negative
1398,10556,positive
1399,34035,positive
1400,31673,positive
1401,11027,positive
1402,27641,positive
1403,22818,negative
1404,16273,neutral
1405,33498,neutral
1406,24912,neutral
1407,32909,negative
1408,14337,positive
1409,33234,neutral
1410,10401,neutral
1411,23282,negative
1412,30305,neutral
1413,11759,neutral
1414,21645,negative
1415,20975,neutral
1416,33167,negative
1417,7729,negative
1418,21237,neutral
1419,21082,positive
1420,22975,neutral
1421,27059,positive
1422,657,positive
1423,43494,positive
1424,29741,positive
1425,31457,negative
1426,1429,positive
1427,36945,neutral
1428,27958,negative
1429,32250,negative
1430,19905,negative
1431,5045,negative
1432,23184,positive
1433,22139,neutral
1434,18737,positive
1435,10298,positive
1436,25097,neutral
1437,10894,negative
1438,35905,negative
1439,8051,negative
1440,36499,neutral
1441,41188,neutral
1442,21011,positive
1443,19523,negative
1444,10491,negative
1445,14071,neutral
1446,18034,positive
1447,6943,positive
1448,16408,neutral
1449,20737,neutral
1450,40633,neutral
1451,35002,positive
1452,33930,neutral
1453,28104,positive
1454,20132,positive
1455,24961,negative
1456,3371,neutral
1457,20571,neutral
1458,24389,neutral
1459,158,neutral
1460,2373,neutral
1461,7109,neutral
1462,32033,negative
1463,7561,neutral
1464,20848,neutral
1465,21328,neutral
1466,32767,negative
1467,25054,negative
1468,2470,negative
1469,22455,positive
1470,9213,neutral
1471,29153,negative
1472,43655,neutral
1473,43108,positive
1474,29205,positive
1475,6040,neutral
1476,36616,negative
1477,26722,neutral
1478,10352,neutral
1479,25277,neutral
1480,30443,neutral
1481,32905,negative
1482,18305,negative
1483,10445,positive
1484,21670,negative
1485,21376,neutral
1486,17723,negative
1487,9003,negative
1488,40636,neutral
1489,13595,neutral
1490,43121,positive
1491,3718,negative
1492,11463,negative
1493,5075,positive
1494,36387,positive
1495,11405,positive
1496,20482,positive
1497,10617,positive
1498,4744,neutral
1499,12603,neutral
1500,3078,negative
1501,14134,negative
1502,28147,negative
1503,27068,negative
1504,26166,neutral
1505,40926,neutral
1506,16992,positive
1507,38729,neutral
1508,43897,positive
1509,11035,neutral
1510,31015,negative
1511,23774,neutral
1512,19372,neutral
1513,10967,neutral
1514,5779,negative
1515,33293,positive
1516,20869,neutral
1517,28335,positive
1518,13565,neutral
1519,10502,neutral
1520,39942,neutral
1521,27468,neutral
1522,4725,neutral
1523,20928,positive
1524,11007,neutral
1525,961,neutral
1526,17827,negative
1527,18144,positive
1528,10740,neutral
1529,9397,positive
1530,18102,negative
1531,6389,neutral
1532,37056,positive
1533,10646,negative
1534,21802,neutral
1535,33126,negative
1536,5682,neutral
1537,41726,negative
1538,23617,negative
1539,16201,neutral
1540,8258,negative
1541,17711,negative
1542,4343,positive
1543,18337,neutral
1544,34862,negative
1545,176,neutral
1546,32659,negative
1547,27004,positive
1548,18963,negative
1549,22444,neutral
1550,40231,neutral
1551,3892,neutral
1552,14812,negative
1553,20898,neutral
1554,480,positive
1555,35470,positive
1556,14963,negative
1557,41150,negative
1558,42667,positive
1559,13470,negative
1560,33834,negative
1561,26310,negative
1562,32687,neutral
1563,35488,positive
1564,11910,positive
1565,18564,neutral
1566,32618,positive
1567,41276,positive
1568,43171,positive
1569,6450,positive
1570,13775,neutral
1571,22635,negative
1572,31014,negative
1573,20349,neutral
1574,43692,neutral
1575,17318,neutral
1576,26255,neutral
1577,21686,negative
1578,15928,neutral
1579,34835,positive
1580,37287,positive
1581,890,neutral
1582,18462,neutral
1583,42863,negative
1584,32815,positive
1585,25967,positive
1586,7432,positive
1587,3104,neutral
1588,40467,negative
1589,22041,positive
1590,40836,negative
1591,17805,neutral
